meeting_id,title,call_type,primary_theme,secondary_theme,products,start_time,duration_minutes,attendee_count,transcript_utterances,sentiment_score,overall_sentiment,transcript_sentiment_score,negative_utterance_share,positive_utterance_share,action_item_count,key_moment_count,risk_score,topics,summary,example_quote
01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,External customer,Incident & Reliability,Compliance & Audit,"Comply, Detect",2026-03-14T11:45:00.000Z,43.4,4,48,2.4,mixed-negative,-0.167,0.333,0.167,4,4,10,"outage, churn risk, infrastructure reliability, compliance, vendor review, incident communication","Suki Nakamura from a financial services firm expressed serious concern over a six-hour threat monitoring outage on Monday that left her security team blind during ongoing regulatory audit conversations. Ravi Gupta acknowledged a known architectural single point of failure in Aegis Detect's event processing pipeline and outlined remediation steps including redundant nodes and a circuit breaker pattern targeted for end-of-month deployment. Suki disclosed that her CISO has initiated a formal vendor review and that the company is actively evaluating competitor SentinelShield. The call concluded with concrete commitments: Ravi will send an infrastructure audit summary by Monday, the technical fix will ship by end of March, and a follow-up check-in call is scheduled for two weeks out.","That's exactly the right question and I want to give you a real answer, not a canned one. The honest truth is — the single point of failure that caused this outage was a known architectural limitation that we hadn't yet prioritized fixing. "
01KQ2331EFD78BF3B1CAB747,Detect Outage - Customer Impact Assessment,Internal,Incident & Reliability,None,"Detect, Comply",2026-03-12T13:45:00.000Z,48.0,4,55,1.8,negative,-0.527,0.527,0.0,4,4,10,"product outage, churn risk, sla compliance, incident communication, internal monitoring failure, customer escalation","The team convened an urgent internal call to address a significant outage of their Detect product that left customers without security monitoring for approximately six hours overnight. A single point of failure in the event ingestion pipeline caused a cascading failure, and critically, the company's own internal alerting also failed because the health checks were tied to the same broken pipeline — meaning a customer, not the team, flagged the outage. At least 47 support tickets have been logged, key enterprise accounts including Fortex and Meridian Financial are expressing dissatisfaction and referencing competitors, and SLA compliance issues are expected to result in credits. The team aligned on immediate action items including drafting a formal executive incident communication, pulling the full SLA exposure list, looping in legal and finance, and preparing customer-facing talking points to clarify that the Comply product was unaffected.","We got a preliminary RCA this morning. The short version is there was a single point of failure in the event ingestion pipeline — basically one component went down and it cascaded. No circuit breaker, no fallback. It just... everything fell"
01KQ25D8AED944B5D2A9FF60,Support Case #1514 - Meridian Capital Granular Restore Request,Customer support,Backup & Recovery,None,Protect,2026-03-26T14:00:00.000Z,19.3,2,38,3.4,mixed-positive,0.0,0.079,0.079,4,4,9,"feature request, granular restore, backup and recovery, rto compliance, aws ebs, workaround","Jason Hoffman from Meridian contacted Aegis support (Sarah Chen) regarding the lack of granular file-level restore capabilities in Aegis Protect. An analyst had accidentally overwritten config files on an EBS-backed EC2 trading platform, requiring a two-hour manual workaround involving spinning up a temporary instance to retrieve the files. Sarah confirmed that file-level restore is not currently supported and documented a formal feature request covering granular file-level restore from EBS snapshots, restore-to-alternate-path functionality, and a file metadata preview capability. The case will be logged, Jason's colleague Marcus Webb will be added, and the CSM will be looped in for follow-up.","Right. And look, for a financial services environment, uh, we have pretty strict RTO requirements on certain systems. A two-hour workaround process isn't something I can count on operationally. It kind of worked this time but it's not a rep"
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,Internal,Competitive & Market,Incident & Reliability,"Comply, Detect",2026-03-20T15:30:00.000Z,26.2,5,47,2.3,mixed-negative,-0.383,0.383,0.0,4,4,10,"platform outage, competitive displacement, customer retention, post-mortem, product launch, compliance","The team convened to address fallout from a six-hour platform outage that caused a complete loss of threat monitoring visibility. Competitors SentinelShield and CyberNova are actively targeting at-risk accounts, including Hartfield Financial and prospect Clearvale Systems. The group aligned on a two-part response strategy: leading with a transparent post-mortem and remediation narrative now, followed by a Comply v2 launch touchpoint in early April to show forward momentum. Key concerns include a potential liability issue involving a customer who claims an actual security incident occurred during the outage window.","So we had — ugh — we had a spike of about 340 tickets come in during and immediately after the outage. We've closed most of them, but there are still about 40 open, mostly from customers who want detailed impact reports, like specifically w"
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,External customer,Compliance & Audit,None,Comply,2026-03-06T13:30:00.000Z,23.3,3,39,4.7,very-positive,0.718,0.026,0.744,4,4,6,"compliance automation, soc 2, iso 27001, audit preparation, product demo, platform integration","Daniel Okafor and James Mitchell from Aegis met with Damien Rowe from Stratos to discuss using Aegis Comply to streamline their compliance preparation ahead of a Q2 (May) audit. Damien explained that their current process is highly manual, requiring engineers to spend weeks pulling evidence across spreadsheets for SOC 2 and ISO 27001 compliance. The Aegis team walked through how Comply continuously maps cloud infrastructure to compliance frameworks and generates audit-ready evidence, noting integration with their existing Aegis Detect product. The call ended positively with agreement to schedule a tailored demo for Damien's engineering and security team.","So the core value proposition with Comply is that it maps your environment continuously to whatever frameworks you're targeting — SOC 2, ISO 27001, we also support PCI DSS and HIPAA — and it generates audit-ready reports on demand. So inste"
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,Customer support,Incident & Reliability,Product Feedback & Roadmap,"Detect, Protect",2026-03-12T15:45:00.000Z,21.1,2,41,1.6,very-negative,-0.488,0.561,0.073,4,4,10,"service outage, threat monitoring failure, sla breach, churn risk, incident escalation, proactive communication failure","Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a cascading failure affecting multiple customers on the same processing cluster, with engineering estimating restoration within two more hours. Julia expressed serious frustration over the lack of proactive communication, a single point of failure in the architecture, and the operational impact of having analysts manually reviewing logs. She disclosed they have been evaluating a competitor (SentinelShield) and has a board meeting next week where she must explain the security blind spot. Marcus committed to a formal incident report, SLA review, AE loop-in, and a direct phone call upon service restoration.",And what happens to events that were supposed to be ingested during the outage window — are those just lost? Or will they be backfilled?
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,Internal,Identity & Access,Product Feedback & Roadmap,"Comply, Identity",2026-04-13T11:45:00.000Z,47.6,5,46,4.4,positive,0.565,0.0,0.565,4,4,10,"roadmap planning, identity & access management, scim / provisioning, adaptive mfa, compliance integration, competitive landscape","The team held a Q2 roadmap planning session for the Identity product, covering three major themes: JIT provisioning and SCIM improvements, adaptive MFA policies, and an Identity audit trail integrated with the Comply module. Technical leads discussed specific failure modes in SCIM sync, a redesigned attribute mapping UI with inline validation, and a phased approach to adaptive MFA starting with location and device posture signals. The session also touched on competitive pressure from SentinelShield, lingering customer trust concerns following a March Detect outage, and cross-team alignment with the Comply team around SOC 2 reporting gaps.","Yeah so the vision here is moving away from static MFA rules — like, everyone in this role gets MFA — toward something that's context-aware. So you'd factor in things like login location, device posture, time of day, whether it's an unusual"
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,Customer support,Incident & Reliability,None,Detect,2026-03-14T17:15:00.000Z,11.4,2,32,2.4,mixed-negative,-0.344,0.406,0.062,4,4,10,"product outage, alert latency, sla breach, incident communication, ot security, service credits","Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event processing pipeline, not anything on the customer's side, and apologized for the lack of proactive communication. Paula expressed concern about the security gap created by hour-long alert delays across their OT and manufacturing environments, and noted potential SLA violations and cyber insurance reporting requirements. Priya committed to a two-hour written update with fix timeline and backfill status, and offered to involve the account manager for remediation and service credit discussions.","We have been dealing with an incident on our end — specifically in the Detect event processing pipeline. There was a cascading failure that started affecting event ingestion, and it resulted in significant delays across, um, a subset of our"
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,Customer support,Incident & Reliability,None,"Comply, Detect",2026-03-12T12:15:00.000Z,48.1,2,48,2.1,mixed-negative,-0.312,0.396,0.083,4,4,10,"outage, compliance, churn risk, sla review, incident response, renewal","Grace Yoon (Northstar) called with serious concerns after a six-hour outage of Aegis Detect left her security team with zero threat monitoring visibility in a HIPAA-regulated pharma environment. This was the second reliability incident in eight months, prompting her CISO to request a competitive evaluation against SentinelShield. Maria Santos acknowledged the failures, explained the root cause as a cascading single point of failure in the event ingestion pipeline, and committed to multiple remediation steps. The call ended with Grace conditionally willing to continue but emphasizing the renewal in June is at risk without significant improvement.","Those are the immediate priorities, yes. But Maria — I want you to understand where I'm sitting. This isn't just about the outage anymore. It's about whether Aegis Detect is the right platform for us long term. And I'm going to be doing my "
01KQ38C4101D6774F2F02331,INCIDENT: Detect Pipeline Failure - War Room,Internal,Incident & Reliability,None,Detect,2026-03-10T13:15:00.000Z,29.9,4,39,1.8,negative,-0.718,0.718,0.0,4,4,10,"outage, pipeline failure, customer escalation, incident response, data loss, technical debt","A critical outage call was convened to address a complete failure of the Detect event processing pipeline that began around 9:14 AM Pacific. The ingestion pipeline's single primary node hit a memory ceiling and crashed due to lack of redundancy, a known tech debt issue that had been flagged but not prioritized. The outage went unannounced on the status page for approximately 90 minutes, causing enterprise customers including Harmon Financial and TerraLogix to escalate, with some customers mistakenly fearing a security breach. The team aligned on immediate actions: a stopgap fix involving a secondary node and temporary load balancer, a public customer statement clarifying there was no breach, and a post-mortem timeline, while acknowledging that 30-40% of event data during the outage window may be unrecoverable.","It was around 10:40, so that's — yeah, that's about an hour and a half after the initial failure. And I want to be upfront, that's on me partly because I was the one who was supposed to pull the trigger on that and I was heads-down trying t"
01KQ38FE02AEE5AA5157F042,Support Case #3296 - Pinnacle Insurance Comply v2 Report Formatting Issue,Customer support,Compliance & Audit,None,Comply,2026-04-08T15:15:00.000Z,14.1,2,40,3.4,mixed-positive,0.075,0.0,0.075,4,4,6,"product bug, compliance reporting, pdf rendering, new release issue, audit deadline, workaround","Oliver Grant contacted Aegis Cloud Security support to report multiple formatting bugs in the newly launched Aegis Comply v2 PDF report export. The issues include section header text truncation on long control category names, a table pagination problem splitting the header row from its data, and incorrect page count in the footer. Marcus confirmed the bugs by reproducing them in a test environment and identified them as a rendering defect in the PDF generation service introduced with the v2 release. Marcus committed to escalating to engineering with high priority and providing an ETA via email the same day, given Oliver's internal audit review scheduled for the following week.","Uh, we only ran SOC 2 so far. We were planning to run a PCI DSS one later today but haven't done that yet."
01KQ3BD8DEEBC7FECD107F0F,Aegis / Blackridge Investments - HIPAA Compliance Review,External customer,Compliance & Audit,None,"Comply, Detect, Protect",2026-04-21T14:15:00.000Z,49.1,4,46,4.7,very-positive,0.674,0.065,0.739,4,4,9,"hipaa compliance, compliance reporting, proof of concept, logvault integration, multi-framework support, audit automation","Aegis held a product demo call with Warren Beck (CISO) and Julia Tran (security analyst) from Blackridge, a financial services firm with a HIPAA-regulated healthcare subsidiary. The discussion centered on Aegis Comply v2, a newly released compliance reporting module, and how it could eliminate the manual, two-week evidence-gathering process Julia's team currently endures before audits. Key capabilities highlighted included on-demand and scheduled HIPAA reporting, multi-framework support (SOC 2, PCI DSS, ISO 27001), remediation guidance, and native LogVault integration. The call concluded with agreement to pursue a scoped proof of concept for the Blackridge Health Finance HIPAA environment, with Aegis to deliver a proposal by end of week.","That's exactly the problem Comply v2 was designed to solve. And you mentioned HIPAA but I do want to flag — the multi-framework support is a big part of this release too. So you get SOC 2, PCI DSS, ISO 27001 all in the same platform. Given "
01KQ3C837D7EF689408DCF95,Support Case #2638 - Pineridge Systems CloudPrime S3 Backup Connector,Customer support,Backup & Recovery,None,Protect,2026-03-04T10:15:00.000Z,19.1,3,38,3.9,mixed-positive,0.105,0.0,0.105,4,4,8,"aws s3 connector, backup failure, 403 error, iam permissions, service control policies, connector configuration","Priya from Aegis Cloud Security support and senior engineer Sarah Chen joined a call with Yuki Tanaka, Security Lead at Pineridge, to troubleshoot a failing CloudPrime S3 backup connector issue (Case 2638). Yuki reported that backup jobs were failing with a 403 error since the previous Thursday, despite no known IAM permission changes. Sarah identified two likely causes: a misconfigured connector endpoint (using the generic s3.amazonaws.com instead of the region-specific us-west-2 endpoint) and potentially restrictive CloudPrime Service Control Policies updated during a routine policy review around the same time. Yuki updated the endpoint setting live on the call and agreed to test the backup job, check SCP policies with their CloudPrime admin, and share CloudTrail logs with the Aegis team.","Of course, yeah. So we've pulled up Case 2638 — the CloudPrime S3 backup connector issue. Before Sarah digs in, do you want to just give us a quick rundown of what you're seeing on your end?"
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,Internal,Incident & Reliability,None,Detect,2026-03-18T16:30:00.000Z,21.4,3,41,2.8,mixed-negative,-0.024,0.098,0.073,4,4,10,"outage post-mortem, infrastructure reliability, customer communication, product visibility, roadmap prioritization, renewal risk","Tom Bradley led a post-incident review of the Detect outage from March 10th, which caused approximately six hours of no threat monitoring for customers due to a cascading failure in the event ingestion pipeline caused by a single point of failure. Tom explained the deployed fixes including redundant processing nodes and a circuit breaker pattern, while Megan noted upcoming product improvements including a status indicator and a potential heartbeat alert feature. Diana highlighted customer concerns about lack of visibility, particularly among enterprise and mid-renewal accounts, and the team aligned on next steps for customer communications. Key action items include Tom delivering a formal post-incident report, Megan evaluating roadmap prioritization, and Diana coordinating customer calls.","Okay so — this is the post-incident review for the Detect outage, March 10th through the 18th, well, the outage itself was March 10th, we're just closing it out today."
01KQ3D8C1EF16C042F31FAFD,Aegis / Trailhead Marketplace - Renewal Confirmation,External customer,Renewal & Commercial Risk,None,"Comply, Detect, Protect",2026-04-05T14:30:00.000Z,46.6,3,49,4.5,positive,0.694,0.041,0.735,4,4,9,"renewal, compliance, outage follow-up, product upsell, pricing, pci dss","Rachel Torres and Chris Lee held a renewal call with Isaac Brennan of Trailhead, covering fourteen months of experience with Protect and Detect. Isaac acknowledged a mid-March six-hour outage as a concern but praised the thorough post-mortem and the subsequent technical fixes. The team discussed adding Aegis Comply v2 at a promotional rate of $18,500 annually (locked for two years), which Isaac found compelling given upcoming PCI audit cycles. Isaac indicated strong internal support for the renewal and agreed on next steps including a procurement one-pager, contract execution by end of April, and a technical onboarding call post-signing.","Yeah, and I completely understand that, Isaac. That was a bad one on our end and I'm not going to sugarcoat it. The root cause was a single point of failure in the event ingestion pipeline — it cascaded in a way we didn't anticipate."
01KQ3F90FF9EBC3DB3632514,Identity Team - Sprint Retro,Internal,Identity & Access,Product Feedback & Roadmap,"Comply, Identity, Detect",2026-03-28T16:00:00.000Z,26.0,4,41,3.4,mixed-positive,-0.024,0.195,0.171,4,4,10,"sprint retrospective, identity management, sprint planning, estimation, scim provisioning, comply integration","The team held a sprint 22 retrospective covering the period of March 14-27 for the Identity team. The Detect outage on the 10th impacted sprint capacity, causing two tickets (MFA enforcement policy UI and SSO session timeout configuration) to slip into sprint 23. Completed work included SCIM provisioning bug fixes, SSO metadata refresh refactor, and partial IAM role hierarchy implementation. The team identified estimation issues with the SSO refactor, a test environment credential delay, and an upcoming Comply v2 integration as key concerns heading into sprint 23.","Yeah and for the record, the two tickets that slipped were the MFA enforcement policy UI work and the SSO session timeout configuration. Both moved to sprint twenty-three."
01KQ410FB7E434BA3F99EE7D,Aegis / Axiom Labs - Multi-Year Renewal,External customer,Renewal & Commercial Risk,None,"Comply, Detect, Identity",2026-04-17T09:45:00.000Z,48.8,3,47,4.2,mixed-positive,0.766,0.0,0.766,4,4,8,"renewal, contract negotiation, api rate limits, compliance reporting, platform outage, competitive displacement","Aisha Johnson (CSM) held a renewal planning call with Ryan Caldwell and Mina Joshi ahead of their end-of-May contract anniversary. The customer expressed strong overall satisfaction with the platform, particularly with the Identity and Comply v2 modules, while acknowledging the March Detect outage was serious but handled well. Aisha presented a three-year renewal proposal featuring an elastic seat model and enterprise API tier, and the conversation surfaced a previously unknown streaming endpoint that could solve a latency issue in the customer's internal alerting pipeline. The call concluded positively with clear next steps including a formal proposal, a technical deep dive, and looping in finance and legal for final approval.","Yeah, I'll need to loop in our VP of Finance for the final sign-off on a multi-year, and our legal team will want a pass at the contract language, but that's pretty routine. I don't anticipate any major issues."
01KQ41FB5CCFD9EA583FB020,Aegis / Harborview Banking - Threat Detection Tuning,External customer,Compliance & Audit,Identity & Access,"Comply, Detect, Identity",2026-03-05T15:30:00.000Z,36.3,4,78,3.9,mixed-positive,-0.013,0.077,0.064,4,4,10,"alert tuning, false positives, compliance, alert routing, data retention, financial services","Lisa Park and Kevin O'Brien from Aegis held a threat detection tuning session with Patricia Dunn (VP of Security) and Michael Russo (Compliance Officer) from Harborview Banking, who went live on Aegis Detect seven weeks ago. The primary concerns discussed were alert fatigue from false positives driven by geo-anomaly detection for multi-timezone staff, compliance coverage gaps for FFIEC/SOX/GLBA requirements, and inefficient alert routing to a single shared SOC inbox. Kevin enabled alert mode on the privileged access monitoring ruleset during the call and identified that the data retention setting needs to be updated from 90 days to at least 12 months. A follow-up working session was planned for the week of March 16th to configure trusted location profiles and work schedule profiles for the Manila team.","Right, and from a compliance standpoint, every one of those false positive alerts has to be reviewed and documented. So it's not just a SOC fatigue issue, it's actually creating a paper trail of noise that we have to manage through as well."
01KQ445B1B5B890316C9E300,Weekly Engineering Standup,Internal,Product Feedback & Roadmap,None,"Comply, Detect",2026-04-17T17:15:00.000Z,45.2,3,48,3.5,mixed-positive,0.0,0.0,0.0,4,4,10,"post-mortem follow-up, compliance bug, circuit breaker, load testing, incident response, runbook","Raj facilitated a team standup with Ravi and Sofia covering post-mortem follow-ups from the Detect outage and the Comply v2 rollout status. Sofia identified a critical bug in Comply v2 causing SOC 2 report generation timeouts for enterprise customers with large tenant datasets, with a fix targeting early next week. The team reviewed outstanding Detect post-mortem action items, including a circuit breaker PR that needs a health check added before merging and a load testing suite formally scheduled to begin April 28th. The runbook update was also flagged as incomplete and assigned to Sofia to finish this week.","Okay. Let's say we target starting that the week of April 28th, and we plan for a two-week sprint on it. That puts us at mid-May, which I think is acceptable given the other priorities. But I want it on the roadmap formally, not just as a v"
01KQ4529010F423FD9DB40BD,Win/Loss Analysis - Q1,Internal,Competitive & Market,None,"Comply, Protect",2026-04-24T12:45:00.000Z,16.5,4,40,2.4,mixed-negative,-0.5,0.525,0.025,4,4,10,"win-loss analysis, competitive intelligence, reliability / outage impact, sales process, collateral gaps, q1 review","The team held a Q1 win-loss review revealing 34 closed-lost opportunities totaling $2.1M ACV, with SentinelShield (9 losses), VaultEdge (6), and CyberNova (4) as the primary competitors. A significant concern is the March Detect outage continuing to haunt late-stage deals, with at least five deals attributed to reliability concerns stemming from the incident. Additional issues include a lack of competitive collateral against VaultEdge on RTO claims, inconsistent loss note quality limiting pattern recognition, and execution gaps on the Customer Success and Support sides during evaluations. The team agreed on several action items and proposed monthly win-loss reviews going forward.","Sure. So in Q1 we had — I'm looking at my sheet here — 34 closed-lost opportunities with a total combined ACV of around 2.1 million. Of those, 22 had a named competitor as the reason or it was noted in the loss notes. SentinelShield shows u"
