query,similarity,meeting_id,title,call_type,theme,products,risk_score,sentiment_score,evidence_quote
What product gaps should product managers prioritize?,0.053,01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,External customer,Product Feedback & Roadmap,"Comply, Identity",7,3.7,"Yeah, that would be helpful. Because right now what we're doing is — we're basically duplicating permissions manually across roles, which is, uh, it's error-prone and it's a pain to audit."
What product gaps should product managers prioritize?,0.04,01KQ8D9A06510DD623EFB1A6,Aegis / Pinnacle Insurance - Detect Roadmap Review,External customer,Product Feedback & Roadmap,"Detect, Comply",10,3.6,"No, absolutely not, and I want to acknowledge that directly — that outage was a significant failure on our part, it was a cascading failure in the event ingestion pipeline, single point of failure that we should have architected around, and"
What product gaps should product managers prioritize?,0.039,01KQ51DC4345D9DAE005678C,Aegis / Redwood Clinical - Product Feedback Session,External customer,Product Feedback & Roadmap,Comply,9,3.2,"Okay, well — so the main thing, and this has been a recurring pain point for us, is around HIPAA reporting specifically. The current reporting in Comply is... it's okay, but it's pretty static. Like we can pull the report but there's no rea"
What product gaps should product managers prioritize?,0.038,01KQ7F58A2E07B857C24624D,Competitive Landscape Review,Internal,Competitive & Market,"Comply, Protect, Detect, Identity",10,3.4,"Right, the platform story. Yeah. Okay so if I'm summarizing — SentinelShield is the most immediate threat in Detect, VaultEdge is one to watch in Protect and potentially Comply, CyberNova is a pricing threat in Identity for mid-market, and "
What product gaps should product managers prioritize?,0.034,01KQ7B802912366FC0A24D4F,All Hands - April Update,Internal,Product Feedback & Roadmap,"Comply, Detect",10,3.6,"Sure, yeah. So, uh, for those who maybe weren't as close to it — the outage ran roughly six hours in mid-March, March 10th through the 18th was the window where we were seeing instability, but the main event was that six-hour gap on the 10t"
Which compliance or audit conversations need roadmap follow-up?,0.059,01KQ2217B066855A3B7814CB,Aegis / Meridian Capital - Service Reliability Discussion,External customer,Incident & Reliability,"Comply, Detect",10,2.4,"That's exactly the right question and I want to give you a real answer, not a canned one. The honest truth is — the single point of failure that caused this outage was a known architectural limitation that we hadn't yet prioritized fixing. "
Which compliance or audit conversations need roadmap follow-up?,0.045,01KQB95605C6F873C6036285,Aegis / Forge Industries - PCI DSS Compliance Review,External customer,Compliance & Audit,"Comply, Detect",7,4.1,"Yeah, so this is one of the things I'm most excited about with v2. We support PCI DSS, SOC 2, HIPAA, and ISO 27001, and the way we've built it is — the underlying control evidence is mapped across frameworks. So if you have a control that s"
Which compliance or audit conversations need roadmap follow-up?,0.041,01KQ9A6BE09D73A9BB5798C7,Support Case #3615 - Nimbus Platform Custom Report Request,Customer support,Compliance & Audit,Comply,7,3.5,"Yeah, fair point. Okay so I think I have a pretty complete picture of what you're looking for. Let me just recap to make sure I've got it right — you need a custom report in Aegis Comply that provides a cross-framework control mapping matri"
Which compliance or audit conversations need roadmap follow-up?,0.04,01KQ88B8EAEAA819C26CCBE7,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,Customer support,Incident & Reliability,"Detect, Comply",10,2.1,"Right, so I do need to be upfront with you both — and I want to apologize because you absolutely should have received direct communication about this already. Aegis Detect is currently experiencing a platform-wide outage affecting the event"
Which compliance or audit conversations need roadmap follow-up?,0.037,01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,Internal,Incident & Reliability,"Detect, Comply",10,2.8,"Perfect. So, uh, today's agenda — this is officially the 30-day post-incident review for the Detect outage that happened March 10th through the 18th. We want to cover what happened, where we landed with the fixes, and then Diana, I know you"
Which identity and access issues are creating customer friction?,0.057,01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,External customer,Product Feedback & Roadmap,"Comply, Identity",7,3.7,"Yeah, that would be helpful. Because right now what we're doing is — we're basically duplicating permissions manually across roles, which is, uh, it's error-prone and it's a pain to audit."
Which identity and access issues are creating customer friction?,0.055,01KQC3A2EBC501837E973B16,Aegis / Frostbyte AI - Identity Module Setup,External customer,Identity & Access,Identity,8,4.8,"Yeah that's exactly right. And honestly, Olivia and I were talking before this call — the SSO piece is probably our biggest priority right now. We have users spread across like eight different tools and the login experience is just... it's "
Which identity and access issues are creating customer friction?,0.047,01KQ5A966832A146DA4B7D41,Aegis / Summit Trust - Platform Concerns Discussion,External customer,Renewal & Commercial Risk,"Comply, Identity",10,2.4,"Yeah. The March outage — I owe you a proper conversation about that. We've been proactive with some customers but I should have reached out to you directly and sooner, and I didn't, and that's on me."
Which identity and access issues are creating customer friction?,0.047,01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,Internal,Identity & Access,"Identity, Comply, Detect",10,4.4,"Yeah so the vision here is moving away from static MFA rules — like, everyone in this role gets MFA — toward something that's context-aware. So you'd factor in things like login location, device posture, time of day, whether it's an unusual"
Which identity and access issues are creating customer friction?,0.046,01KQ5AFAE8264DDC0ED2AE7F,Aegis / Crestline Wealth - Identity Module Deployment,External customer,Identity & Access,"Identity, Comply",7,4.8,"Yeah, definitely. So, at a high level we're looking at three phases for a deployment like yours. Phase one is directory sync and SSO configuration — basically getting Aegis Identity talking to your Entra ID environment, setting up the SAML "
